STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       2601;19360101;-999;-999;-999;    5;   0.8;   1;    0.000;   0;   7.3;   7.1;  909.00;    3.3;   89.00;    4.9;    1.5;-999;eor
       2601;19360102;-999;-999;-999;    5;   6.3;   1;    0.000;   0;   8.0;   6.9;  904.40;    2.0;   99.00;    2.5;    1.3;-999;eor
       2601;19360103;-999;-999;-999;    5;  30.9;   1;    0.000;   0;   8.0;   7.7;  901.00;    3.4;  100.00;    4.8;    0.7;-999;eor
       2601;19360104;-999;-999;-999;    5;   0.2;   7;    0.000;   0;   8.0;   6.1;  916.60;    0.0;  100.00;    4.0;   -0.7;-999;eor
       2601;19360105;-999;-999;-999;    5;   0.0;   1;    0.900;   0;   6.0;   5.6;  920.80;   -1.0;   97.00;    1.7;   -1.5;-999;eor
       2601;19360106;-999;-999;-999;    5;   2.5;   8;    0.000;   0;   7.7;   5.6;  913.00;   -0.3;   95.00;    0.4;   -2.5;-999;eor
       2601;19360107;-999;-999;-999;    5;   0.8;   1;    0.000;   0;   8.0;   6.4;  912.00;    0.9;   98.00;    2.0;   -0.2;-999;eor
       2601;19360108;-999;-999;-999;    5;   1.0;   1;    0.000;   0;   7.7;   6.7;  915.90;    1.3;   99.00;    2.1;    0.5;-999;eor
       2601;19360109;-999;-999;-999;    5;   6.5;   1;    0.000;   0;   8.0;   7.5;  919.10;    3.0;  100.00;    4.2;    0.0;-999;eor
       2601;19360110;-999;-999;-999;    5;  16.3;   1;    0.100;   0;   8.0;   9.6;  916.00;    6.3;  100.00;    7.8;    4.2;-999;eor
       2601;19360111;-999;-999;-999;    5;   0.0;   0;    3.800;   0;   7.3;   6.5;  922.60;    2.2;   86.00;    5.9;   -0.2;-999;eor
       2601;19360112;-999;-999;-999;    5;   0.0;   0;    0.000;   0;   8.0;   5.1;  926.80;   -2.2;   96.00;    0.2;   -2.5;-999;eor
